movie_title;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
Alice Through the Looking Glass;Johnny Depp;Mia Wasikowska;Anne Hathaway;Helena Bonham Carter;Alan Rickman;Michael Sheen;Sacha Baron Cohen;Andrew Scott;Toby Jones;Rhys Ifans
Shrek the Third;Mike Myers;Eddie Murphy;Cameron Diaz;Julie Andrews;Antonio Banderas;John Cleese;Rupert Everett;Eric Idle;Amy Sedaris;Justin Timberlake
Warcraft;Paula Patton;Travis Fimmel;Ben Foster;Robert Kazinsky;Dominic Cooper;Toby Kebbell;Ben Schnetzer;Daniel Wu;Clancy Brown;Ruth Negga
Terminator Genisys;Arnold Schwarzenegger;Jason Clarke;Emilia Clarke;Jai Courtney;J.K. Simmons;Dayo Okeniyi;Matt Smith;Courtney B. Vance;Lee Byung-hun;Michael Gladis
The Chronicles of Narnia: The Voyage of the Dawn Treader;Skandar Keynes;Georgie Henley;Simon Pegg;Gary Sweet;Arthur Angel;Tilda Swinton;Tony Nixon;Shane Rangi;Colin Moody;Ben Barnes
Pearl Harbor;Ben Affleck;Josh Hartnett;Kate Beckinsale;Cuba Gooding Jr.;Jon Voight;Alec Baldwin;Tom Sizemore;William Lee Scott;Greg Zola;Ewen Bremner
Transformers;Shia LaBeouf;Josh Duhamel;Megan Fox;Rachael Taylor;Tyrese Gibson;Jon Voight;John Turturro;Anthony Anderson;Peter Cullen;Mark Ryan
Alexander;Colin Farrell;Angelina Jolie;Val Kilmer;Jared Leto;Jonathan Rhys Meyers;Anthony Hopkins;Jessie Kamm;Christopher Plummer;Connor Paolo;Patrick Carroll
Harry Potter and the Order of the Phoenix;Daniel Radcliffe;Rupert Grint;Emma Watson;Michael Gambon;Ralph Fiennes;Tom Felton;Robbie Coltrane;Alan Rickman;Maggie Smith;Helena Bonham Carter
Harry Potter and the Goblet of Fire;Daniel Radcliffe;Rupert Grint;Emma Watson;Ralph Fiennes;Michael Gambon;Alan Rickman;Robbie Coltrane;Brendan Gleeson;Miranda Richardson;Gary Oldman
Hancock;Will Smith;Charlize Theron;Jason Bateman;Jae Head;Eddie Marsan;David Mattey;Thomas Lennon;Johnny Galecki;Hayley Marie Norman;Trieu Tran
I Am Legend;Will Smith;Alice Braga;Charlie Tahan;Salli Richardson-Whitfield;Willow Smith;Emma Thompson;Darrell Foster;Joanna Numata;Dash Mihok;Samuel Glen
Charlie and the Chocolate Factory;Johnny Depp;Freddie Highmore;David Kelly;AnnaSophia Robb;Julia Winter;Jordan Fry;Philip Wiegratz;Helena Bonham Carter;Noah Taylor;Missi Pyle
Ratatouille;Patton Oswalt;Ian Holm;Lou Romano;Brian Dennehy;Peter Sohn;Peter O'Toole;Brad Garrett;Janeane Garofalo;Will Arnett;Julius Callahan
Batman Begins;Christian Bale;Michael Caine;Liam Neeson;Katie Holmes;Gary Oldman;Cillian Murphy;Tom Wilkinson;Morgan Freeman;Rutger Hauer;Ken Watanabe
Madagascar: Escape 2 Africa;Ben Stiller;Jada Pinkett Smith;David Schwimmer;Chris Rock;Cedric the Entertainer;Andy Richter;Bernie Mac;Alec Baldwin;Sacha Baron Cohen;Sherri Shepherd
Night at the Museum: Battle of the Smithsonian;Ben Stiller;Amy Adams;Owen Wilson;Hank Azaria;Robin Williams;Christopher Guest;Steve Coogan;Ricky Gervais;Bill Hader;Jon Bernthal
X-Men Origins: Wolverine;Hugh Jackman;Liev Schreiber;Danny Huston;Lynn Collins;Ryan Reynolds;Will.i.am;Taylor Kitsch;Kevin Durand;Dominic Monaghan;Daniel Henney
The Matrix Revolutions;Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving;Mary Alice;Helmut Bakaitis;Lambert Wilson;Roy Jones Jr.;Randall Duk Kim;Harry Lennix
Frozen;Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;Santino Fontana;Alan Tudyk;Chris Williams;Stephen J. Anderson;Maia Wilson;Edie McClurg
The Matrix Reloaded;Keanu Reeves;Carrie-Anne Moss;Laurence Fishburne;Hugo Weaving;Helmut Bakaitis;Steve Bastoni;Don Battee;Monica Bellucci;Daniel Bernhardt;Valerie Berry
Thor: The Dark World;Chris Hemsworth;Natalie Portman;Tom Hiddleston;Anthony Hopkins;Christopher Eccleston;Jaimie Alexander;Zachary Levi;Ray Stevenson;Tadanobu Asano;Idris Elba
Mad Max: Fury Road;Tom Hardy;Charlize Theron;Nicholas Hoult;Hugh Keays-Byrne;Josh Helman;Nathan Jones;Rosie Huntington-Whiteley;Riley Keough;Abbey Lee;Courtney Eaton
Angels & Demons;Tom Hanks;Ewan McGregor;Ayelet Zurer;Pierfrancesco Favino;Armin Mueller-Stahl;Thure Lindhardt;David Pasquesi;Cosimo Fusco;Victor Alfieri;Franklin Amobi
Thor;Chris Hemsworth;Natalie Portman;Tom Hiddleston;Anthony Hopkins;Kat Dennings;Clark Gregg;Colm Feore;Idris Elba;Ray Stevenson;Tadanobu Asano
Bolt;John Travolta;Miley Cyrus;Susie Essman;Mark Walton;Malcolm McDowell;James Lipton;Greg Germann;Diedrich Bader;Nick Swardson;J.P. Manoux
G-Force;Sam Rockwell;Tracy Morgan;Jon Favreau;Steve Buscemi;Nicolas Cage;Edwin Louis;Jared Lavette;Micah Lavette;Bill Nighy;Will Arnett
Wrath of the Titans;Sam Worthington;Liam Neeson;Ralph Fiennes;Toby Kebbell;Rosamund Pike;Bill Nighy;Danny Huston;John Bell;Lily James;Alejandro Naranjo
Dark Shadows;Johnny Depp;Michelle Pfeiffer;Helena Bonham Carter;Jackie Earle Haley;Jonny Lee Miller;Eva Green;Bella Heathcote;Gulliver McGrath;Ray Shirley;Christopher Lee
Mission: Impossible - Rogue Nation;Tom Cruise;Rebecca Ferguson;Simon Pegg;Jeremy Renner;Ving Rhames;Sean Harris;Simon McBurney;Zhang Jingchu;Tom Hollander;Alec Baldwin
The Wolfman;Benicio del Toro;Anthony Hopkins;Emily Blunt;Hugo Weaving;Cristina Contes;David Sterne;Elizabeth Croft;Simon Merrells;Art Malik;Asa Butterfield
Bee Movie;Jerry Seinfeld;Jim Cummings;Matthew Broderick;Patrick Warburton;John Goodman;Chris Rock;Kathy Bates;Barry Levinson;Megan Mullally;Rip Torn
Kung Fu Panda 2;Jack Black;Angelina Jolie;Dustin Hoffman;Gary Oldman;Jackie Chan;Lucy Liu;Seth Rogen;David Cross;Michelle Yeoh;James Hong
The Last Airbender;Noah Ringer;Nicola Peltz;Jackson Rathbone;Dev Patel;Shaun Toub;Aasif Mandvi;Dee Bradley Baker;Ben Cooke;Katharine Houghton;Cliff Curtis
Mission: Impossible III;Tom Cruise;Philip Seymour Hoffman;Ving Rhames;Billy Crudup;Jonathan Rhys Meyers;Michelle Monaghan;Keri Russell;Maggie Q;Simon Pegg;Aaron Paul
White House Down;Channing Tatum;Jamie Foxx;Joey King;Maggie Gyllenhaal;Richard Jenkins;James Woods;Nicolas Wright;Jimmi Simpson;Michael Murphy;Rachelle Lefevre
Mars Needs Moms;Seth Green;Joan Cusack;Dan Fogler;Breckin Meyer;Elisabeth Harnois;Tom Everett Scott;Mindy Sterling;Julene Renee;Raymond Ochoa;Robert Ochoa
Flushed Away;Hugh Jackman;Kate Winslet;Ian McKellen;Jean Reno;Bill Nighy;Andy Serkis;Shane Richie;Kathy Burke;David Suchet;Miriam Margolyes
Pan;Levi Miller;Garrett Hedlund;Hugh Jackman;Rooney Mara;Amanda Seyfried;Nonso Anozie;Kathy Burke;Adeel Akhtar;Cara Delevingne;Paul Kaye
Mr. Peabody & Sherman;Ty Burrell;Max Charles;Ariel Winter;Allison Janney;Ellie Kemper;Stephen Colbert;Stephen Tobolowsky;Karan Brar;Joshua Rush;Adam Alexi-Malle
Troy;Brad Pitt;Orlando Bloom;Eric Bana;Brian Cox;Sean Bean;Brendan Gleeson;Diane Kruger;Peter O'Toole;Rose Byrne;Saffron Burrows
Madagascar 3: Europe's Most Wanted;Ben Stiller;Sacha Baron Cohen;David Schwimmer;Frances McDormand;Chris Rock;Jada Pinkett Smith;John DiMaggio;Cedric the Entertainer;Jessica Chastain;Bryan Cranston
Die Another Day;Pierce Brosnan;Halle Berry;Rosamund Pike;Rick Yune;Toby Stephens;John Cleese;Lawrence Makoare;Michael Madsen;Will Yun Lee;Judi Dench
